Algorithm,Nb. rows,Nb. columns,Density,Memory overflow,Runtime,Communication cost
Sparse w/ Quicksort,100,900,0.001,False,2.006229,5105354
Dense sharing,1000,900,0.001,False,16.88603,50400827
Dense,1000,900,0.001,False,224.282631,22680383
Sparse sharing,1000,900,0.001,False,0.55263,187200
Sparse w/ Quicksort,1000,900,0.001,False,28.45623,83089740
Dense sharing,10,1000,0.001,False,0.209539,560601
Dense,10,1000,0.001,False,7.837426,28000231
Sparse sharing,10,1000,0.001,False,0.043514,2080
Sparse w/ Quicksort,10,1000,0.001,False,0.227577,306608
Dense sharing,100,1000,0.001,False,1.739247,5600630
Dense,100,1000,0.001,False,28.941536,28000353
Sparse sharing,100,1000,0.001,False,0.128071,20800
Sparse w/ Quicksort,100,1000,0.001,False,2.204252,5698322
Dense sharing,1000,1000,0.001,False,19.046477,56000655
Dense,1000,1000,0.001,False,298.360344,28000179
Sparse sharing,1000,1000,0.001,False,0.877328,208000
Sparse w/ Quicksort,1000,1000,0.001,False,45.476641,94070364
Dense sharing,10,2000,0.001,False,0.410274,1120631
Dense,10,2000,0.001,False,34.98627,112000416
Sparse sharing,10,2000,0.001,False,0.139931,4160
Sparse w/ Quicksort,10,2000,0.001,False,0.860452,1481286
Dense sharing,100,2000,0.001,False,3.746757,11200587
Dense,100,2000,0.001,False,116.203349,112000450
Sparse sharing,100,2000,0.001,False,0.258073,41600
Sparse w/ Quicksort,100,2000,0.001,False,10.660498,22129310
Dense sharing,1000,2000,0.001,False,38.06255,112000533
Dense,1000,2000,0.001,False,1193.473681,112000444
Sparse sharing,1000,2000,0.001,False,1.185942,416000
Sparse w/ Quicksort,1000,2000,0.001,False,123.980948,345835360
Dense sharing,10,3000,0.001,False,0.527032,1680595
