Algorithm,Nb. rows,Nb. columns,Density,Memory overflow,Runtime,Communication cost
Sparse w/ Quicksort,100,900,0.005,False,44.869558,122032685
Dense sharing,100,900,0.01,False,1.734861,5040684
Dense,100,900,0.01,False,22.040441,22680412
Sparse sharing,100,900,0.01,False,0.554857,187200
Sparse w/ Quicksort,100,900,0.01,False,236.882458,575552645
Dense sharing,100,1000,0.001,False,1.867111,5600663
Dense,100,1000,0.001,False,25.100158,28000413
Sparse sharing,100,1000,0.001,False,0.102073,20800
Sparse w/ Quicksort,100,1000,0.001,False,3.838558,7389291
Dense sharing,100,1000,0.005,False,1.943556,5600577
Dense,100,1000,0.005,False,32.62864,28000326
Sparse sharing,100,1000,0.005,False,0.357858,104000
Sparse w/ Quicksort,100,1000,0.005,False,63.54291,165911532
Dense sharing,100,1000,0.01,False,1.860541,5600587
Dense,100,1000,0.01,False,29.796391,28000421
Sparse sharing,100,1000,0.01,False,0.733037,208000
Sparse w/ Quicksort,100,1000,0.01,False,332.444812,697301090
Dense sharing,100,2000,0.001,False,4.424001,11200621
Dense,100,2000,0.001,False,122.445732,112000386
Sparse sharing,100,2000,0.001,False,0.264037,41600
Sparse w/ Quicksort,100,2000,0.001,False,10.214227,22495545
Dense sharing,100,2000,0.005,False,5.551476,11200661
Dense,100,2000,0.005,False,146.807549,112000129
Sparse sharing,100,2000,0.005,False,0.617493,208000
Sparse w/ Quicksort,100,2000,0.005,False,307.205802,666670240
Dense sharing,100,2000,0.01,False,3.889636,11200642
Dense,100,2000,0.01,False,118.235255,112000110
